data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8790119,804,UKR50732,50732,2022-01-14,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Luhansk,Luhanskyi,Luhanska,"Verhunskyi Rozyizd",48.6406,39.4045,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Verhunskyi Rozyizd.",0,1642524193,UKR
8790125,804,UKR50656,50656,2022-01-14,2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya",,2,12,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Rozsadky,48.4312,38.3518,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 2 shots involving small arms near Rozsadky.",0,1642524193,UKR
8790135,804,UKR50733,50733,2022-01-14,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Kominternove,47.1745,37.8110,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 10 projectiles/explosions involving unknown weapons near Kominternove.",0,1642524193,UKR
8790139,804,UKR50657,50657,2022-01-14,2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya",,2,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Popasnianska,Novooleksandrivka,48.6191,38.4281,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 8 projectiles/explosions/shots involving unknown weapons in both directions of the frontline near Novooleksandrivka.",0,1642524193,UKR
8796799,804,UKR50753,50753,2022-01-14,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Vodyane,47.1478,37.7881,2,"JFO HQ press centre; OSCE SMM-Ukraine",Other,"On 14 January 2022, the NAF rebel forces fired 82mm mortars and grenade launchers at the governmental positions near Vodyane, Donetsk. There were no injuries or fatalities. The OSCE SMM observed a total of 6 projectiles/explosions/shots involving unknown weapons in both directions of the frontline near Vodyane.",0,1643135347,UKR
8797178,804,UKR50856,50856,2022-01-14,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Marinka,47.9425,37.5050,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 4 explosions involving unknown weapons near Marinka.",0,1643135348,UKR
8797214,804,UKR50799,50799,2022-01-14,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Verkhnyoshyrokivske,47.2352,37.8638,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Verkhnyoshyrokivske.",0,1643135348,UKR
8797218,804,UKR50804,50804,2022-01-14,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Volnovaskyi,Olhynska,Viktorivka,47.6354,37.8086,2,"OSCE SMM-Ukraine",Other,"On 14 January 2022, the OSCE SMM observed a total of 1 projectiles involving unknown weapons near Viktorivka.",0,1643135348,UKR
8869803,804,UKR50679,50679,2022-01-14,2022,1,"Strategic developments",Other,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)","Government of Ukraine (2019-)",7,37,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,1,"Ukraine General Newswire; DPA; Flot 2017; Segodnya",National-Regional,"Other: On 14 January 2022, a massive cyber attack was carried out against Ukrainian information resources [coded to Kiev]. About 70 websites of central and regional authorities, including Ministry of Foreign Affairs and Energy Ministry, were affected. The attackers left anti-Ukrainian messages on some of the websites. Some of the websites were disabled to prevent the spreading of the attack to other resources.",0,1646184493,UKR
8789917,804,UKR50678,50678,2022-01-13,2022,1,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)",,7,37,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,1,"24 Channel",National,"Property destruction: On 13 January 2022, unidentified individuals set fire to a private car of an activist in Dnipro. The victim, who fought against the illegal distribution of excisable goods, connects the arson with his professional activities. The car was destroyed, there were no injuries or fatalities.",0,1642524192,UKR
